,Unnamed: 0,School ID,School Name,Latitude Longitude,Student Population,Free Discount Lunch,Students Per Teacher,Rank Stars,Rank Level,Rank Statewide,Average Standard Score,Neighborhood,Community
91,91,272124000000.0,Washburn High School - SWS,"44.913424, -93.282531",0,,,,,,,Southwest Minneapolis,Southwest
92,92,272124000000.0,Washburn Senior High,"44.913424, -93.282531",1632,37.87,20.8,3.0,High,68.09,68.56458,Southwest Minneapolis,Southwest
93,93,272124000000.0,Wellstone High School - SWS,"44.941899, -93.261614",17,82.35,,0.0,High,6.91,6.07713,Powderhorn Park,Powderhorn
94,94,272124000000.0,Wellstone International High,"44.94193, -93.261265",208,95.19,9.1,0.0,High,0.41,2.98818,Powderhorn Park,Powderhorn
95,95,272124000000.0,Mps Metro C,"44.963751, -93.27428",18,83.33,2.5,,,,,Central Minneapolis,Central
96,96,272124000000.0,Mps Metro Ha,"44.994326, -93.256289",34,91.18,11.1,,,,,Northeast Minneapolis,Northeast
97,97,272124000000.0,Mps Metro Sj,"44.942078, -93.260772",23,86.96,5.7,,,,,Powderhorn Park,Powderhorn
98,98,272124000000.0,Nonpublic Sp Educational Program,"44.994326, -93.256289",0,,,,,,,Northeast Minneapolis,Northeast
99,99,272124000000.0,River Bend Educational Center,"44.981225, -93.299478",86,93.02,4.2,,,,,Glenwood Avenue,Near North
100,100,272124000000.0,Ronald McDonald House,"44.969978, -93.225907",7,,8.2,,,,,Prospect Park,University
101,101,272124000000.0,Special Education,"44.994326, -93.256289",0,,0.0,,,,,Northeast Minneapolis,Northeast
