,NEIGHBORHOOD,COMMUNITY,Google Lat,Google Long
64,BRYANT,POWDERHORN,44.9311739,-93.269679
65,CENTRAL,POWDERHORN,44.976463,-93.2761116
66,CORCORAN,POWDERHORN,44.9429482,-93.2406483
67,LYNDALE,POWDERHORN,44.9429412,-93.2843232
68,POWDERHORN PARK,POWDERHORN,44.9398026,-93.2533339
69,STANDISH,POWDERHORN,44.9323256,-93.2384953
70,WHITTIER,POWDERHORN,44.9555348,-93.2796514
71,ARMATAGE,SOUTHWEST,44.8979405,-93.3112262
72,EAST HARRIET,SOUTHWEST,44.9293225,-93.2935778
73,FULTON,SOUTHWEST,44.9121918,-93.3212646
74,KENNY,SOUTHWEST,44.8989169,-93.2960941
75,KING FIELD,SOUTHWEST,44.9268577,-93.2805443
76,LINDEN HILLS,SOUTHWEST,44.9284494,-93.3237824
77,LYNNHURST,SOUTHWEST,44.9106583,-93.2935778
78,TANGLETOWN,SOUTHWEST,44.9127498,-93.2780655
79,WINDOM,SOUTHWEST,44.8978338,-93.2832943
80,CEDAR RSIDE/WEST BANK,UNIVERSITY,44.9668972,-93.2434698
81,COMO,UNIVERSITY,44.9878368,-93.2228067
82,MARCY-HOLMES,UNIVERSITY,44.9853721,-93.2447234
83,MID CITY INDUSTRIAL AR,UNIVERSITY,44.9988622,-93.2177712
84,NICOLLET IS/EAST BANK,UNIVERSITY,44.9736773,-93.231077
85,PROSPECT PK/E RIVER RD,UNIVERSITY,44.9609032,-93.2129011
86,UNIVERSITY,UNIVERSITY,44.9753541,-93.2330739
