Neighborhood,Crimes,Violent Crimes,Non-Violent Crimes,Price per Sq Ft,Population,Crime Rate,Violent Rate,Non-Violent Rate
SHERIDAN,579,166,413,145.6872745,2884,40.15256588072122,11.511789181692095,28.640776699029125
SHINGLE CREEK,504,215,289,96.17366801,3031,33.25635103926097,14.18673705047839,19.06961398878258
ST ANTHONY EAST,344,149,195,163.6534071,2038,33.7585868498528,14.622178606476938,19.136408243375858
ST ANTHONY WEST,372,82,290,158.6601385,2243,33.169861792242536,7.311636201515827,25.858225590726708
STANDISH,1148,497,651,133.04364579999998,6785,33.83935151068533,14.649963154016213,19.189388356669124
STEVENS SQ/LORING HGTS,1074,393,681,190.29728590000002,4031,53.287025551972214,19.49888365169933,33.78814190027288
SUMNER-GLENWOOD,365,150,215,230.2997957,1475,49.49152542372882,20.33898305084746,29.152542372881356
TANGLETOWN,647,211,436,181.3972421,4493,28.80035610950367,9.392388159359003,19.40796795014467
VENTURA VILLAGE,2100,852,1248,103.5135085,6617,63.472872903128305,25.751851292126343,37.721021611001966
VICTORY,816,342,474,104.97696880000001,4482,36.41231593038822,15.261044176706829,21.151271753681392
WAITE PARK,539,229,310,129.2960884,5568,19.36063218390805,8.225574712643677,11.135057471264368
WEBBER-CAMDEN,1526,765,761,84.30703072,5290,57.6937618147448,28.92249527410208,28.77126654064272
WENONAH,641,304,337,135.36317780000002,4482,28.603302097278,13.565372601517181,15.037929495760821
WEST CALHOUN,402,65,337,241.728559,1760,45.68181818181819,7.386363636363637,38.29545454545455
WHITTIER,4394,1319,3075,162.5827857,14815,59.31825852176848,17.80627742153223,41.51198110023625
WILLARD-HAY,2139,1113,1026,79.47130902,9556,44.76768522394307,23.294265383005442,21.47341984093763
WINDOM,859,247,612,140.5483496,5045,34.053518334985135,9.79187314172448,24.26164519326065
WINDOM PARK,763,268,495,131.7581858,5481,27.84163473818646,9.779237365444262,18.0623973727422
