X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.280466214883589,44.955528031958231,0001XX 26TH ST W,MP2018353166        ,5     ,2018-10-21T00:00:00.000Z,1336,2018-10-18T00:00:00.000Z,2018-10-21T13:36:00.000Z,1500,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-10-21T00:00:00.000Z,17055,-93.2804715,44.95553322,-10383934,5614523,Whittier,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6974
-93.251172153468445,44.954638048315609,0026XX 16TH AVE S,MP2018353177        ,3     ,2018-10-21T00:00:00.000Z,1255,2018-10-21T00:00:00.000Z,2018-10-21T12:55:00.000Z,800,THEFT   ,OTHER THEFT                   ,07 ,2018-10-21T00:00:00.000Z,19488,-93.25118066,44.95464048,-10380673,5614383,East Phillips,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6975
-93.254963043967436,44.956437072429495,0025XX 14TH AVE S,MP2018353209        ,3     ,2018-10-21T00:00:00.000Z,1346,2018-10-21T00:00:00.000Z,2018-10-21T13:46:00.000Z,1340,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-10-21T00:00:00.000Z,16874,-93.25497084,44.95644126,-10381095,5614666,Midtown Phillips,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6976
-93.291937701061798,45.032427640586256,0042XX COLFAX AVE N,MP2018353230        ,4     ,2018-10-21T00:00:00.000Z,1813,2018-10-21T00:00:00.000Z,2018-10-21T18:13:00.000Z,600,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018-10-22T00:00:00.000Z,10739,-93.29193803,45.03243106,-10385211,5626628,Webber - Camden,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6977
-93.249833663695114,44.960931207776234,,MP2018353249        ,3     ,2018-10-21T00:00:00.000Z,1511,2018-10-21T00:00:00.000Z,2018-10-21T15:11:00.000Z,1510,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-10-21T00:00:00.000Z,,-93.24984,44.96093,-10380524,5615373,Ventura Village,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6978
-93.306948549459435,45.008717610689736,0027XX OLIVER AVE N,MP2018353261        ,4     ,2018-10-21T00:00:00.000Z,1758,2018-10-21T00:00:00.000Z,2018-10-21T17:58:00.000Z,1400,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-10-22T00:00:00.000Z,10886,-93.30695554,45.00872087,-10386882,5622894,Jordan,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6979
-93.256148820142471,44.961382508849354,0021XX 13TH AVE S,MP2018353269        ,3     ,2018-10-21T00:00:00.000Z,1811,2018-10-21T00:00:00.000Z,2018-10-21T18:11:00.000Z,1100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018-10-22T00:00:00.000Z,22828,-93.25615489,44.96138439,-10381227,5615444,Ventura Village,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6980
-93.255043892342997,44.948356914198804,,MP2018353284        ,3     ,2018-10-21T00:00:00.000Z,1642,2018-10-21T00:00:00.000Z,2018-10-21T16:42:00.000Z,1530,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2018-10-22T00:00:00.000Z,,-93.25505,44.94836,-10381104,5613395,Midtown Phillips,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6981
-93.2389281161459,44.945648439821277,0031XX 23RD AVE S,MP2018353288        ,3     ,2018-10-21T00:00:00.000Z,1601,2018-10-16T00:00:00.000Z,2018-10-21T16:01:00.000Z,1200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018-10-21T00:00:00.000Z,20781,-93.23893067,44.94565104,-10379310,5612969,Corcoran,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6982
-93.221716395302181,44.998751896625841,,MP2018353289        ,2     ,2018-10-21T00:00:00.000Z,1807,2018-10-19T00:00:00.000Z,2018-10-21T18:07:00.000Z,1700,THEFT   ,OTHER THEFT                   ,07 ,2018-10-22T00:00:00.000Z,,-93.22172,44.99876,-10377394,5621325,Mid - City Industrial,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6983
-93.277816184795427,44.961795668690996,0020XX NICOLLET AVE ,MP2018353303        ,5     ,2018-10-21T00:00:00.000Z,1630,2018-10-21T00:00:00.000Z,2018-10-21T16:30:00.000Z,1600,SHOPLF  ,SHOPLIFTING                   ,07 ,2018-10-21T00:00:00.000Z,18036,-93.2778187,44.96180077,-10383639,5615509,Whittier,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6984
-93.277358044000536,44.976769115499401,00003X 9TH ST N,MP2018353337        ,1     ,2018-10-21T00:00:00.000Z,1651,2018-10-21T00:00:00.000Z,2018-10-21T16:51:00.000Z,230,DASLT2  ,2ND DEG DOMES ASLT            ,05 ,2018-10-22T00:00:00.000Z,25970,-93.27736013,44.97677369,-10383588,5617865,Downtown West,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6985
